STATE,NAME,YEAR,AVG,G,PA,AB,R,RBI,H,1B,2B,3B,HR,TB,EB,BB,IBB,HBP,SO,GIDP,SAC,SF,SB,CS,OBP,SLG,TA,G/F,KBB
°h§Ð,ÆN«L,1991,0.331,79,328,272,40,54,90,57,17,2,14,153,33,52,6,2,60,6,0,2,1,2,0.439,0.563,1.002,1.033,0.9
°h§Ð,³¯¥¿¤¤,1991,0.261,79,307,272,38,42,71,48,13,0,10,114,23,27,1,3,43,8,1,4,4,6,0.33,0.419,0.749,1.145,0.7
°h§Ð,§õ¦wº³,1991,0.197,79,265,233,24,20,46,33,10,1,2,64,13,21,0,1,32,8,8,2,1,3,0.265,0.275,0.54,1.538,0.69
°h§Ð,ªL¥ò¬î,1991,0.27,78,314,281,41,43,76,44,15,1,16,141,32,28,7,1,34,7,1,3,2,1,0.335,0.502,0.837,0.804,0.85
°h§Ð,¨L«T¨},1991,0.237,77,263,228,23,19,54,45,9,0,0,63,9,17,0,0,22,7,15,3,0,1,0.286,0.276,0.562,1.931,0.77
°h§Ð,§õ©~©ú,1991,0.236,77,270,242,28,21,57,37,13,0,7,91,20,25,1,0,20,6,3,0,4,1,0.307,0.376,0.683,0.953,1.25
°h§Ð,¾G¦Ê³Ó,1991,0.262,75,295,267,36,22,70,57,8,3,2,90,13,22,2,0,22,3,5,1,10,9,0.317,0.337,0.654,1.873,1
°h§Ð,¾G©¯¥Í,1991,0.277,72,285,260,28,20,72,59,8,1,4,94,13,14,1,2,37,4,7,2,1,5,0.317,0.362,0.679,2.2,0.43
°h§Ð,¬x¤@¤¤,1991,0.25,71,247,224,20,35,56,39,13,0,4,81,17,10,0,0,17,6,5,8,0,0,0.273,0.362,0.635,1.377,0.59
°h§Ð,ªL®¶½å,1991,0.237,71,224,198,21,12,47,42,5,0,0,52,5,13,0,4,22,6,8,1,12,8,0.296,0.263,0.559,1.816,0.77
°h§Ð,Ã¹°Ò,1991,0.253,70,249,233,21,31,59,42,12,0,5,86,17,9,0,3,51,3,3,1,4,6,0.289,0.369,0.658,1.082,0.24
°h§Ð,³¯¬F½å,1991,0.237,70,184,156,16,11,37,30,6,0,1,46,7,21,2,1,34,2,5,1,3,1,0.33,0.295,0.625,1.333,0.65
°h§Ð,³¯µaÂ×,1991,0.221,68,150,131,19,5,29,26,2,1,0,33,3,6,0,2,24,1,11,0,4,1,0.266,0.252,0.518,2.56,0.33
°h§Ð,§dªL·Ò,1991,0.122,68,47,41,4,2,5,5,0,0,0,5,0,3,0,0,9,0,3,0,3,1,0.182,0.122,0.304,5,0.33
°h§Ð,¤ý¥ú½÷,1991,0.272,67,274,243,40,35,66,42,15,0,9,108,24,23,2,2,21,5,1,5,2,2,0.333,0.444,0.777,1.025,1.19
°h§Ð,§d­^°¶,1991,0.217,67,140,129,8,7,28,21,6,0,1,37,7,5,0,0,26,1,5,1,2,4,0.244,0.287,0.531,1.455,0.19
°h§Ð,Ò\©¾¨k,1991,0.222,65,224,203,19,13,45,39,5,0,1,53,6,10,0,0,14,4,11,0,4,1,0.258,0.261,0.519,1.672,0.71
°h§Ð,¾HÄ£µØ,1991,0.173,64,180,139,18,10,24,18,6,0,0,30,6,31,1,2,25,1,7,1,4,2,0.329,0.216,0.545,2.063,1.32
°h§Ð,³\¿üµØ,1991,0.231,60,157,147,12,9,34,29,3,1,1,42,5,7,2,0,18,3,3,0,0,0,0.266,0.286,0.552,1.8,0.39
°h§Ð,®]ªø¤t,1991,0.168,60,147,131,11,9,22,18,3,1,0,27,4,8,0,2,35,1,6,0,2,1,0.227,0.206,0.433,1.286,0.29
°h§Ð,¦Êº~,1991,0.26,53,214,200,19,18,52,45,3,0,4,67,7,10,0,0,23,4,3,1,2,2,0.294,0.335,0.629,1.15,0.43
°h§Ð,ÅQ¦h,1991,0.302,50,181,159,17,21,48,30,12,2,4,76,18,19,3,0,26,6,0,3,1,0,0.37,0.478,0.848,1.047,0.73
°h§Ð,³¯«Û¦¨,1991,0.242,50,136,124,17,22,30,20,6,0,4,48,10,11,0,0,16,3,0,1,1,1,0.301,0.387,0.688,1.548,0.69
°h§Ð,¬dºû,1991,0.309,47,179,162,21,20,50,34,12,2,2,72,16,12,1,1,13,5,2,2,3,1,0.356,0.444,0.8,1.191,1
°h§Ð,§õ¤å¶Ç,1991,0.125,46,95,88,1,5,11,10,1,0,0,12,1,3,0,0,9,0,3,1,1,5,0.152,0.136,0.288,0.895,0.33
°h§Ð,¯Õ°·½÷,1991,0.25,44,56,48,11,6,12,10,2,0,0,14,2,4,0,0,15,0,2,2,3,6,0.296,0.292,0.588,0.923,0.27
°h§Ð,½±©[?,1991,0.217,40,86,83,4,6,18,17,1,0,0,19,1,0,0,1,16,2,1,1,0,1,0.224,0.229,0.453,3.25,0.06
°h§Ð,¬x¥¿´Ü,1991,0.217,39,117,106,7,14,23,17,4,1,1,32,6,9,0,0,22,4,2,0,2,1,0.278,0.302,0.58,2.5,0.41
°h§Ð,¶À¥@©ú,1991,0.257,37,114,109,9,14,28,19,5,2,2,43,9,2,0,3,18,1,0,0,1,8,0.289,0.394,0.683,1.333,0.28
°h§Ð,ÂÅ¤å¦¨,1991,0.243,36,82,74,10,5,18,13,3,2,0,25,5,2,0,0,8,0,6,0,1,3,0.263,0.338,0.601,1.7,0.25
°h§Ð,¦ó¨}§Ó,1991,0.135,36,58,52,5,2,7,6,1,0,0,8,1,6,0,0,6,1,0,0,1,4,0.224,0.154,0.378,2.25,1
°h§Ð,´å©vÀs,1991,0.259,32,58,54,8,3,14,14,0,0,0,14,0,3,0,0,8,0,1,0,3,0,0.298,0.259,0.557,2.667,0.38
°h§Ð,¶À²M¤å,1991,0.23,32,68,61,11,7,14,11,2,1,0,18,3,4,0,0,10,3,2,1,0,1,0.273,0.295,0.568,1.857,0.4
°h§Ð,®}¾ã·í,1991,0.226,31,65,62,4,2,14,13,1,0,0,15,1,2,0,0,9,1,1,0,1,1,0.25,0.242,0.492,1.857,0.22
°h§Ð,¿à±R¥ú,1991,0.212,28,42,33,4,1,7,7,0,0,0,7,0,5,0,1,5,1,3,0,0,1,0.333,0.212,0.545,3,1.2
°h§Ð,¥dÃ¹,1991,0.31,24,96,87,11,13,27,23,2,1,1,34,4,8,0,0,14,4,0,1,1,0,0.365,0.391,0.756,1.474,0.57
°h§Ð,´­¤à,1991,0.231,20,68,65,4,6,15,8,5,0,2,26,7,3,0,0,18,0,0,0,1,2,0.265,0.4,0.665,1.133,0.17
°h§Ð,³¯¯Õ¦ö,1991,0.077,17,28,26,1,1,2,1,0,1,0,4,1,0,0,1,4,0,0,1,0,0,0.107,0.154,0.261,1.625,0.25
°h§Ð,§õ©[­õ,1991,0.286,16,14,14,3,3,4,1,2,0,1,9,3,0,0,0,6,1,0,0,1,0,0.286,0.643,0.929,3,0
°h§Ð,¿½¯CÀÚ,1991,0.167,5,8,6,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.286,0.167,0.453,5,0
°h§Ð,¶§¤¶¤¯,1991,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,³¯¶hªQ,1991,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,®}¨|¹b,1991,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,«¸°]©ú,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,³¯¾Ë³¹,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,¶À¹Å¨|,1991,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,®]¬L¥ß,1992,0.289,90,354,329,41,37,95,68,21,0,6,134,27,17,0,1,37,8,5,2,12,6,0.324,0.407,0.731,1.217,0.49
